title;rating;review count;location;Gellak manicure prijs;Duur (min)
Pedi-Ma Voetverzorging en Massage;4,6;657 reviews;Nicolaes Maesstraat 2 Unit 109, Zaandam, 1506 LB;51;40
Beautify Me by B;4,9;171 reviews;Herestraat 113 - unit 0.6, Groningen, 9711 LG;;
Beautysalon DreamV;4,7;64 reviews;Hortensiastraat 3 , Oud-Beijerland, 3261 BG ;19;50
Dermathority;4,8;696 reviews;Herenstraat 30A, Amsterdam, 1015 CB;40,5;60
Glamazone Beauty & Nails;3,7;591 reviews;Wagenstraat 122 E, Den Haag, 2512BA;25;30
Studio Kiss Beauty Care;4,9;597 reviews;Rivierenhof 50, Groningen, 9725HB;33;75
ByRubi;5;135 reviews;Binnendelta 4n , Blaricum, 1261 WZ;35;40
Nailhouse Haren;4,7;369 reviews;Felland Noord 12K, Haren, 9753 TB;;
That's Beauty;4,8;303 reviews;Amsterdamseweg 120, Amstelveen, 1182 HH;39;60
Beauty in Motion;4,6;1872 reviews;1e Hogeweg 164, Zeist, 3701HL;42,5;60
Spaaz;3,9;132 reviews;Denneweg 54A, Den Haag, 2514 CH;45;60
SoulSisters Beautybar;4,8;289 reviews;van Limburg Stirumstraat 3, Gouda, 2805 BD;35;60
Phann Beauty;4,9;3119 reviews;Plein 9, Den Haag, 2511 CR;44,95;60
Beauty moments;4,8;532 reviews;Hagenkampweg Zuid 200a, Eindhoven, 5615DB;47,5;75
Wanida;4,7;1006 reviews;Dorpsstraat 47, Nieuwerkerk aan den Ijssel, 2912 CA ;;
Elle Suite;4,9;555 reviews;Rembrandtweg 98, Amstelveen, 1181 GW;50;75
Van Wijk Clinic;4,4;455 reviews;Zonnelaan 30-8, Groningen, 9742 BM;37,5;40
Firozeh Beauty;4,6;1467 reviews;Nieuwe Beestenmarkt 20, Leiden, 2312 CH;55;60
Glam Nail Bar;4,7;188 reviews;Haagseveer 122, Rotterdam, 3011 DB;50;45
Beauty Fixers by Natasja;4,5;191 reviews;Markerkant 12-1.15, Almere, 1314 AJ;30;45
Beauty by Sonja;4,6;321 reviews;Meerstraat 6, Almere, 1353AX;50;70
Amber Nails & Beauty;4,7;601 reviews;Tollensstraat 301B, Amsterdam, 1053RV;41,5;60
Dream Beauty;4,7;528 reviews;Jansweg 45,  Haarlem, 2011KM;;
MYSC parfumerie @ Rhoon;4,8;503 reviews;Dorpsdijk 149, Rhoon, 3161 CA;39;50
SALON dc (voorheen nagelstudio mooi);4,7;937 reviews;Ruysdaelstraat 15, Amsterdam, 1071WX;35;40
Chez Anahid Coiffures et Beauté;4,7;329 reviews;Abraham Kuyperlaan 27, Rotterdam;;
Beleza Beautycentrum;4,6;464 reviews;Nijenrodeweg 24, Rotterdam, 3077 ES;47;70
Lifestyle Salon Lilou;4,6;1098 reviews;Grote Haag 6, Amersfoort, 3811HJ;55,5;60
Candy Nails Utrecht;4,7;540 reviews;Johannes Uitenbogaerstraat 57, Utrecht, 3553 VN ;50;40
Charly's Beauty & Nails;4,7;487 reviews;Duijvenvoordestraat 159, Monster, 2681 HL;30;40
Briejoux;4,9;148 reviews;Purmerplein 21, Amsterdam, 1023BC;;
The City Street Spa;4,6;2022 reviews;Prinsengracht 764, Amsterdam, 1017LE;48;45
LoBelle;4,4;826 reviews;Chris Bennekerslaan 2, Rotterdam, 3061 EA;33,99;45
Icon Beauty;4,9;104 reviews;Bart Poesiatstraat 62, Amsterdam, 1069 SE;43;55
Flamingo Beauty;5;139 reviews;Zeesluisweg 78, Den Haag, 2583 DS;70;90
You Nailed It;4,9;324 reviews;Galileo Galileistraat 17, Almere, 1349 DN ;35;45
MOOi by Dona;4,8;149 reviews;Kikkerveen 105, Spijkenisse, 3205 XA;55;60
PinkDiamond Beauty;4,6;704 reviews;Haarlemmerdijk 119B, Amsterdam, 1013 KE;37,5;35
